drive.about.get	GET	about	none	none	current
drive.accessproposals.get	GET	files/{fileId}/accessproposals/{proposalId}	none	none	current
drive.accessproposals.list	GET	files/{fileId}/accessproposals	none	none	current
drive.accessproposals.resolve	POST	files/{fileId}/accessproposals/{proposalId}:resolve	json	none	current
drive.approvals.approve	POST	files/{fileId}/approvals/{approvalId}:approve	json	none	current
drive.approvals.cancel	POST	files/{fileId}/approvals/{approvalId}:cancel	json	none	current
drive.approvals.comment	POST	files/{fileId}/approvals/{approvalId}:comment	json	none	current
drive.approvals.decline	POST	files/{fileId}/approvals/{approvalId}:decline	json	none	current
drive.approvals.get	GET	files/{fileId}/approvals/{approvalId}	none	none	current
drive.approvals.list	GET	files/{fileId}/approvals	none	none	current
drive.approvals.reassign	POST	files/{fileId}/approvals/{approvalId}:reassign	json	none	current
drive.approvals.start	POST	files/{fileId}/approvals:start	json	none	current
drive.apps.get	GET	apps/{appId}	none	none	current
drive.apps.list	GET	apps	none	none	current
drive.changes.getStartPageToken	GET	changes/startPageToken	none	none	current
drive.changes.list	GET	changes	none	none	current
drive.changes.watch	POST	changes/watch	json	none	current
drive.channels.stop	POST	channels/stop	json	none	current
drive.comments.create	POST	files/{fileId}/comments	json	none	current
drive.comments.delete	DELETE	files/{fileId}/comments/{commentId}	none	none	current
drive.comments.get	GET	files/{fileId}/comments/{commentId}	none	none	current
drive.comments.list	GET	files/{fileId}/comments	none	none	current
drive.comments.update	PATCH	files/{fileId}/comments/{commentId}	json	none	current
drive.drives.create	POST	drives	json	none	current
drive.drives.delete	DELETE	drives/{driveId}	none	none	current
drive.drives.get	GET	drives/{driveId}	none	none	current
drive.drives.hide	POST	drives/{driveId}/hide	none	none	current
drive.drives.list	GET	drives	none	none	current
drive.drives.unhide	POST	drives/{driveId}/unhide	none	none	current
drive.drives.update	PATCH	drives/{driveId}	json	none	current
drive.files.copy	POST	files/{fileId}/copy	json	none	current
drive.files.create	POST	files	json	resumable	current
drive.files.delete	DELETE	files/{fileId}	none	none	current
drive.files.download	POST	files/{fileId}/download	none	none	current
drive.files.emptyTrash	DELETE	files/trash	none	none	current
drive.files.export	GET	files/{fileId}/export	none	none	current
drive.files.generateCseToken	GET	files/generateCseToken	none	none	current
drive.files.generateIds	GET	files/generateIds	none	none	current
drive.files.get	GET	files/{fileId}	none	none	current
drive.files.list	GET	files	none	none	current
drive.files.listLabels	GET	files/{fileId}/listLabels	none	none	current
drive.files.modifyLabels	POST	files/{fileId}/modifyLabels	json	none	current
drive.files.update	PATCH	files/{fileId}	json	resumable	current
drive.files.watch	POST	files/{fileId}/watch	json	none	current
drive.operations.get	GET	operations/{name}	none	none	current
drive.permissions.create	POST	files/{fileId}/permissions	json	none	current
drive.permissions.delete	DELETE	files/{fileId}/permissions/{permissionId}	none	none	current
drive.permissions.get	GET	files/{fileId}/permissions/{permissionId}	none	none	current
drive.permissions.list	GET	files/{fileId}/permissions	none	none	current
drive.permissions.update	PATCH	files/{fileId}/permissions/{permissionId}	json	none	current
drive.replies.create	POST	files/{fileId}/comments/{commentId}/replies	json	none	current
drive.replies.delete	DELETE	files/{fileId}/comments/{commentId}/replies/{replyId}	none	none	current
drive.replies.get	GET	files/{fileId}/comments/{commentId}/replies/{replyId}	none	none	current
drive.replies.list	GET	files/{fileId}/comments/{commentId}/replies	none	none	current
drive.replies.update	PATCH	files/{fileId}/comments/{commentId}/replies/{replyId}	json	none	current
drive.revisions.delete	DELETE	files/{fileId}/revisions/{revisionId}	none	none	current
drive.revisions.get	GET	files/{fileId}/revisions/{revisionId}	none	none	current
drive.revisions.list	GET	files/{fileId}/revisions	none	none	current
drive.revisions.update	PATCH	files/{fileId}/revisions/{revisionId}	json	none	current
drive.teamdrives.create	POST	teamdrives	json	none	deprecated
drive.teamdrives.delete	DELETE	teamdrives/{teamDriveId}	none	none	deprecated
drive.teamdrives.get	GET	teamdrives/{teamDriveId}	none	none	deprecated
drive.teamdrives.list	GET	teamdrives	none	none	deprecated
drive.teamdrives.update	PATCH	teamdrives/{teamDriveId}	json	none	deprecated
